hts10,subchapter
2931.90.9010,9903.88.04
2931.90.9021,9903.88.04
2931.90.9025,9903.88.04
2931.90.9029,9903.88.04
2931.90.9051,9903.88.16
4901.99.0010,9903.88.15
4901.99.0020,9903.88.15
4901.99.0030,9903.88.15
4901.99.0050,9903.88.15
4901.99.0060,9903.88.15
4901.99.0065,9903.88.15
4901.99.0070,9903.88.15
4901.99.0075,9903.88.15
4901.99.0091,9903.88.15
4901.99.0092,9903.88.15
4901.99.0093,9903.88.15
8517.62.0010,9903.88.04
8517.62.0020,9903.88.04
8517.62.0090,9903.88.15
9401.61.4001,9903.88.16
9401.61.4011,9903.88.04
9401.61.4031,9903.88.04
9401.69.6001,9903.88.15
9401.69.6011,9903.88.04
9401.69.6031,9903.88.04
9401.71.0001,9903.88.16
9401.71.0005,9903.88.16
9401.71.0006,9903.88.16
9401.71.0007,9903.88.15
9401.71.0008,9903.88.04
9401.71.0011,9903.88.04
9401.71.0031,9903.88.04
9401.79.0001,9903.88.16
9401.79.0002,9903.88.16
9401.79.0003,9903.88.16
9401.79.0004,9903.88.16
9401.79.0006,9903.88.04
9401.79.0011,9903.88.04
9401.79.0015,9903.88.04
9401.79.0025,9903.88.04
9401.79.0035,9903.88.04
9401.79.0046,9903.88.04
9401.79.0050,9903.88.04
9401.80.2001,9903.88.16
9401.80.2005,9903.88.04
9401.80.2011,9903.88.04
9401.80.2031,9903.88.04
9401.80.4001,9903.88.16
9401.80.4004,9903.88.04
9401.80.4006,9903.88.04
9401.80.4015,9903.88.04
9401.80.4026,9903.88.04
9401.80.4035,9903.88.04
9401.80.4046,9903.88.04
9401.80.6024,9903.88.04
9401.80.6025,9903.88.04
9401.80.6028,9903.88.04
9401.80.6030,9903.88.04
9403.70.4001,9903.88.04
9403.70.4002,9903.88.04
9403.70.4003,9903.88.16
9403.70.4015,9903.88.04
9403.70.4020,9903.88.04
9403.70.4031,9903.88.04
9403.70.8001,9903.88.04
9403.70.8002,9903.88.04
9403.70.8003,9903.88.16
9403.70.8015,9903.88.04
9403.70.8020,9903.88.04
9403.70.8031,9903.88.04
